EN,FR,ES,CS,DE,PL
kangaroo,kangourou,canguro,klokan,Känguru,kangur
kangaroo rat,rat kangourou,rata canguro,klokaní krysa,Kängururatte,szczur kangur
karakul,karakul,karakul,karakul,Karakul,karakul
katydid,katyde,katydid,katydid,Katydid,katydid
keel-billed toucan,toucan à quille,tucán pico de quilla,tukan kýlnatý,Kiefernschnabeltukan,tukan kilowy
Kentrosaurus,Kentrosaurus,Kentrosaurus,Kentrosaurus,Kentrosaurus,Kentrozaur
killer whale,orque,orca,kosatka,Killerwal,orka
king cobra,roi cobra,rey cobra,king cobra,Königskobra,kobra królewska
king crab,crabe royal,cangrejo real,krab královský,Königskrabbe,krab królewski
kinkajou,kinkajou,kinkajou,kinkajou,kinkajou,kinkajou
kiwi,kiwi,kiwi,kiwi,kiwi,kiwi
knobbed whelk,buccin noueux,bocina nudosa,plejtvák obrovský,Noppenhechtling,gałka muszkatołowa
koala,koala,koala,koala,Koala,koala
Komodo dragon,Dragon de Komodo,Dragón de Komodo,Komodský drak,Komodowaran,Smok z Komodo
kookaburra,kookaburra,cucaburra,kookaburra,Kookaburra,kookaburra
krill,krill,krill,krill,Krill,kryl
Kronosaurus,Kronosaurus,Kronosaurus,Kronosaurus,Kronosaurus,Kronozaur
Kudu,Koudou,Kudu,Kudu,Kudu,Kudu
Labrador retriever,Labrador retriever,Labrador retriever,Labradorský retrívr,Labrador Retriever,Labrador retriever
ladybug,coccinelle,mariquita,beruška,Marienkäfer,biedronka
lagomorph,lagomorphe,lagomorfo,lagomorph,Lagomorph,zajęczak
lake trout,truite de lac,trucha de lago,pstruh jezerní,Seeforelle,pstrąg jeziorowy
lanternfish,poisson-lanterne,pez linterna,lucerna,Laternenfisch,latarnik
larva,larve,larva,larvy,Larve,larwa
leafcutter ant,fourmi coupeuse de feuilles,hormiga cortadora de hojas,mravenec listonoš,Blattschneiderameise,mrówka liściożerna
leghorn,léghorn,leghorn,leghorn,Leghorn,leghorn
lemming,lemming,lemming,lemming,Lemming,leming
lemon shark,requin citron,tiburón limón,žralok citronový,Zitronenhai,rekin cytrynowy
lemur,lémurien,lémur,lemur,Lemur,lemur
leopard,léopard,leopardo,leopardí,Leopard,lampart
Lhasa apso,Lhassa apso,Lhasa apso,Lhasa apso,Lhasa Apso,Lhasa apso
lice,poux,piojos,vši,Läuse,wszy
lightning bug,insecte foudroyant,luciérnaga,chyba blesku,Glühwürmchen,Błyskawica
limpet,patelle,lapa,limpet,Napfschnecke,limpet
lion,lion,león,lev,Löwe,lew
Liopleurodon,Liopleurodon,Liopleurodon,Liopleurodon,Liopleurodon,Liopleurodon
lizard,lézard,lagarto,ještěrka,Eidechse,jaszczurka
llama,lama,llama,lama,Lama,lama
lobster,homard,langosta,humr,Hummer,homar
locust,criquet,langosta,kobylka,Heuschrecke,szarańcza
loggerhead turtle,tortue caouanne,tortuga boba,želva kareta,Unechte Karettschildkröte,żółw szylkretowy
longhorn,longhorn,longhorn,longhorn,Longhorn,longhorn
loon,huard,somorgujo,loon,Seetaucher,bizon
lorikeet,loriquet,lorikeet,lorikeet,Lorikeet,lorikeet
loris,loris,loris,loris,loris,loris
louse,poux,piojo,veš,Läuse,wesz
luminous shark,requin lumineux,tiburón luminoso,světélkující žralok,Leuchthai,świecący rekin
luna moth,luna moth,polilla luna,luna moth,Luna-Motte,ćma luna
lynx,lynx,lince,lynx,Luchs,ryś
macaque,macaque,macaco,makak,macaque,makak
macaw,ara,guacamayo,macaw,Aras,ara
mackerel,maquereau,caballa,makrela,Makrele,makrela
Macrauchenia,Macrauchenia,Macrauchenia,Macrauchenia,Macrauchenia,Macrauchenia
maggot,asticot,gusano,larvy,Maden,larwa
mako shark,requin mako,tiburón mako,žralok mako,Makohai,rekin mako
mallard duck,canard colvert,ánade real,kachna divoká,Stockente,kaczka krzyżówka
mamba,mamba,mamba,mamba,Mamba,mamba
mammal,mammifère,mamífero,savci,Säugetier,ssak
mammoth,mammouth,mamut,mamut,Mammut,mamut
man-o'-war,homme de guerre,hombre de guerra,man-o'-war,Mann-o'-war,człowiek-wojna
manatee,lamantin,manatí,kapustňák,Manatee,manat
mandrill,mandrill,mandril,mandrill,Mandrill,mandryl
manta ray,raie manta,manta raya,manta,Mantarochen,manta
mantid,mante,mantid,mantid,Gottesanbeterin,modliszka
mantis,mante,mantis,kudlanka nábožná,Gottesanbeterin,modliszka
marbled murrelet,guillemot marbré,mérgulo jaspeado,muréna mramorovaná,Marmorbrustvogel,marmurek
marine mammals,mammifères marins,mamíferos marinos,mořští savci,Meeressäugetiere,ssaki morskie
marmoset,ouistiti,tití,marmoset,Seidenäffchen,marmozeta
marmot,marmotte,marmota,svišť,Murmeltier,świstak
marsupial,marsupial,marsupial,vačnatci,Beuteltier,torbacz
mastiff,mâtin,mastín,mastif,Mastiff,mastif
mastodon,mastodonte,mastodonte,mastodont,Mastodon,mastodont
meadowlark,alouette,alondra de los prados,skřivan luční,Wiesenlerche,meadowlark
mealworm,ver de farine,gusano de la harina,mouční červi,Mehlwurm,mącznik
meerkat,suricate,suricata,surikata,Erdmännchen,surykatka
Megalodon,Mégalodon,Megalodon,Megalodon,Megalodon,Megalodon
megamouth shark,requin mégaptère,tiburón megamouth,žralok velkohubý,Großmaulhai,rekin ludojad
merganser,harle,esmerejón,merganser,Gänsesäger,nurogęś
mice,souris,ratones,myši,Mäuse,myszy
midge,moucheron,jején,midge,Mücke,muszka
migrate,migrer,migrar,migrovat,migrieren,migrować
millipede,mille-pattes,milpiés,stonožky,Tausendfüßler,krocionóg
mink,vison,visón,norka,Nerz,norka
minnow,vairon,pececillo,minnow,Elritze,strzebla
moa,moa,moa,moa,moa,moa
mockingbird,oiseau moqueur,sinsonte,drozda,Spottdrossel,szyderca
mole,grain de beauté,topo,krtek,Maulwurf,kret
mollusk,mollusque,molusco,měkkýši,Molluske,mięczak
monarch butterfly,papillon monarque,mariposa monarca,motýl monarcha,Monarchfalter,motyl monarcha
mongoose,mangouste,mangosta,mongoose,Mongoose,mangusta
monitor lizard,varan,lagarto monitor,ještěrka obecná,Waran,jaszczurka monitorująca
monkey,singe,mono,opice,Affen,małpa
monotreme,monotrème,monotreme,monotreme,monotreme,monotreme
moose,élan,alce,los,Elch,łoś
moray eel,murène,morena,muréna,Muräne,murena
Morganucodon,Morganucodon,Morganucodon,Morganucodon,Morganucodon,Morganucodon
morpho butterfly,papillon morpho,mariposa morfo,motýl morfo,Morpho-Schmetterling,motyl morpho
mosquito,moustique,mosquito,komáři,Stechmücke,komar
moth,papillon de nuit,polilla,můry,Motte,ćma
mountain lion,lion de montagne,puma,puma,Berglöwe,lew górski
mouse,souris,ratón,myš,Maus,mysz
mudpuppy,chiot de boue,mudpuppy,mudpuppy,mudpuppy,mudpuppy
musk ox,bœuf musqué,buey almizclero,pižmoň,Moschusochse,wół piżmowy
muskrat,rat musqué,rata almizclera,pižmovka,Bisamratte,piżmak
mussels,moules,mejillones,mušle,Muscheln,małże
mustelids,mustélidés,mustélidos,mustelids,Musteliden,mustelidy
nabarlek,nabarlek,nabarlek,nabarlek,nabarlek,nabarlek
naked mole-rat,rat-taupe nu,rata topo desnuda,nahá krtčí krysa,Nacktmull,nagi kret-szczur
nandu,nandu,nandu,nandu,nandu,nandu
narwhal,narval,narval,narval,Einhorn,narwal
nautilus,nautile,nautilus,nautilus,Nautilus,nautilus
nene,nene,nene,nene,nene,nene
nest,nid,nido,hnízdo,Nest,gniazdo
newt,triton,tritón,newt,newt,traszka
nightingale,rossignol,ruiseñor,slavík,Nachtigall,słowik
nine-banded armadillo,tatou à neuf bandes,armadillo de nueve bandas,pásovec devítipásý,Neunbindengürteltier,pancernik dziewięciopasmowy
North American beaver,Castor d'Amérique du Nord,Castor norteamericano,Severoamerický bobr,Nordamerikanischer Biber,Bóbr północnoamerykański
North American porcupine,Porc-épic d'Amérique du Nord,Puercoespín norteamericano,Dikobraz severoamerický,Nordamerikanisches Stachelschwein,Jeżozwierz północnoamerykański
northern cardinal,cardinal du nord,cardenal boreal,kardinál severní,Nordkardinal,kardynał północny
northern elephant seal,éléphant de mer du Nord,elefante marino del norte,tuleň severní,nördlicher Seeelefant,foka słoniowa północna
northern fur seal,otarie à fourrure du nord,foca peletera del norte,tuleň severní,Nördliche Pelzrobbe,foka północna
northern right whale,baleine franche boréale,ballena franca boreal,velryba severní,Nördlicher Glattwal,północny prawy wieloryb
numbat,numbat,numbat,numbat,numbat,numbat
nurse shark,requin nourrice,tiburón nodriza,žralok ošetřovatelský,Ammenhai,rekin pielęgniarz
nuthatch,sittelle,trepador azul,kavky,Kleiber,kowalik
nutria,ragondin,nutria,nutrie,Nutria,nutria
nymph,nymphe,ninfa,nymfa,Nymphe,nimfa
ocelot,ocelot,ocelote,ocelot,Ozelot,ocelot
octopus,pieuvre,pulpo,chobotnice,Oktopus,ośmiornica
okapi,okapi,okapi,okapi,okapi,okapi
old English sheepdog,vieux chien de berger anglais,viejo perro pastor inglés,starý anglický ovčák,alter englischer Schäferhund,owczarek staroangielski
onager,onager,onager,onger,onager,onager
opossum,opossum,zarigüeya,opossum,Opossum,opos
orangutan,orang-outan,orangután,orangutan,Orang-Utan,orangutan
orca,orque,orca,kosatky,Orca,orka
Oregon silverspot butterfly,Papillon de l'Oregon,Mariposa silverspot de Oregón,Motýl oregonský stříbřitý,Oregon-Silberfleck-Schmetterling,Motyl modraszek oregoński
oriole,oriole,oropéndola,oriole,Pirole,wilga
Ornitholestes,Ornitholestes,Ornitholestes,Ornitholestes,Ornitholestes,Ornitholestes
Ornithomimus,Ornithomimus,Ornithomimus,Ornithomimus,Ornithomimus,Ornithomimus
oropendola,oropendola,oropéndola,oropendola,oropendola,oropendola
Orthacanthus,Orthacanthus,Orthacanthus,Orthacanthus,Orthacanthus,Orthacanthus
oryx,oryx,oryx,oryx,Oryx,oryx
ostrich,autruche,avestruz,pštrosí,Strauß,struś
"otter, river","loutre, rivière","nutria, río","vydra, řeka","Fischotter, Fluss","wydra, rzeka"
"otter, sea",loutre de mer,"nutria, mar","vydra, mořská","Fischotter, Meer",wydra morska
Oviraptor,Oviraptor,Oviraptor,Oviraptor,Oviraptor,Oviraptor
owl,hibou,búho,sova,Eule,sowa
ox,bœuf,buey,ox,ox,wół
oxpecker,oxpecker,oxpecker,oxpecker,oxpecker,oxpecker
oyster,huître,ostra,ústřice,Austern,ostryga
painted lady butterfly,le papillon dame peinte,mariposa dama pintada,motýlek babočka malířská,Distelfalter,motyl malowana dama
painted turtle,tortue peinte,tortuga pintada,želva malovaná,Lackschildkröte,żółw malowany
panda,panda,panda,panda,Panda,panda
pangolin,pangolin,pangolín,pangolin,Schuppentier,pangolin
panther,panthère,pantera,panther,Panther,pantera
parakeet,perruche,periquito,papoušek,Sittich,papużka
parrot,perroquet,loro,papoušek,Papagei,papuga
peacock,paon,pavo real,páv,Pfau,paw
peafowl,piaf,pavo real,peafowl,Pfau,paw
pekingese,pékinois,pequinés,pekingský psík,Pekinese,pekińczyk
pelican,pélican,pelícano,pelikán,Pelikan,pelikan
penguin,pingouin,pingüino,tučňák,Pinguin,pingwin
peregrine falcon,faucon pèlerin,halcón peregrino,sokol stěhovavý,Wanderfalke,sokół wędrowny
Perissodactyls,Périssodactyles,Perisodáctilos,Perissodactyls,Perissodactyls,Peryssodaktyle
petrel,pétrel,petrel,petrel,Sturmvogel,petrel
pig,porc,cerdo,prase,Schwein,świnia
pigeon,pigeon,paloma,holub,Taube,gołąb
pika,pika,pika,pika,pika,pika
pill bug,bug de la pilule,virus de la pastilla,chyba v pilulkách,Pillenwanze,błąd pigułki
pinnipeds,pinnipèdes,pinnípedos,ploutvonožci,Tausendfüßler,płetwonogie
piranha,piranha,piraña,piranha,piranha,pirania
placental mammals,mammifères placentaires,mamíferos placentarios,placentální savci,Plazentasäugetiere,ssaki łożyskowe
plankton,plancton,plancton,plankton,Plankton,plankton
platybelodon,platybelodon,platybelodon,platybelodon,platybelodon,platybelodon
platypus,ornithorynque,ornitorrinco,platypus,Schnabeltier,dziobak
ploughshare tortoise,soc de charrue tortue,tortuga de arado,želva orební,Pflugschar-Schildkröte,żółw lemieszowy
plover,pluvier,chorlito,plover,Kiebitz,siewka
polar bear,ours polaire,oso polar,lední medvěd,Eisbär,niedźwiedź polarny
polliwog,polliwog,polliwog,polliwog,polliwog,polliwog
pomeranian,poméranien,pomerania,pomeranian,Pomeranian,pomeranian
pompano,pompon,pompano,Pompano,Pompano,pompano
pond skater,patineur d'étang,patinador de estanque,bruslař na rybníku,Schlittschuhläufer,łyżwiarz stawowy
poodle,caniche,caniche,pudl,Pudel,pudel
porcupine,porc-épic,puercoespín,dikobraz,Stachelschwein,jeżozwierz
porpoise,marsouin,marsopa,sviňuchy,Schweinswal,morświn
Port Jackson shark,Requin de Port Jackson,Tiburón de Port Jackson,Žralok Port Jackson,Port Jackson-Hai,Rekin z Port Jackson
Portuguese water dog,Chien d'eau portugais,Perro de aguas portugués,Portugalský vodní pes,Portugiesischer Wasserhund,Portugalski pies wodny
Postosuchus,Postosuchus,Postosuchus,Postosuchus,Postosuchus,Postosuchus
prairie chicken,poulet de prairie,pollo de las praderas,prérijní kuře,Präriehuhn,kurczak preriowy
praying mantid,mante religieuse,mantis religiosa,kudlanka nábožná,Gottesanbeterin,modliszka
praying mantis,mante religieuse,mantis religiosa,kudlanka nábožná,Gottesanbeterin,modliszka
primates,primates,primates,primáti,Primaten,naczelne
Proboscideans,Proboscidiens,Proboscideans,Proboscideans,Proboszidea,Proboscideans
pronghorn,pronghorn,berrendo,pronghorn,Gabelbock,pronghorn
protozoan,protozoaire,protozoos,protozoa,Protozoen,pierwotniak
pufferfish,poisson-globe,pez globo,pufferfish,Kugelfisch,rozdymka
puffin,macareux,frailecillo,puffin,Papageientaucher,purchawka
pug,carlin,carlino,mops,Mops,mops
puma,puma,puma,puma,puma,puma
pupa,chrysalide,pupa,pupa,Verpuppung,poczwarka
pupfish,poisson-témoin,pupfish,pupfish,Welpenfisch,poczwarki
python,python,python,python,python,pyton
Quaesitosaurus,Quaesitosaurus,Quaesitosaurus,Quaesitosaurus,Quaesitosaurus,Quaesitosaurus
quagga,quagga,quagga,quagga,Quagga,quagga
quail,caille,codorniz,křepelky,Wachtel,przepiórka
Queen Alexandra's birdwing,L'aile d'oiseau de la reine Alexandra,Ala de pájaro de la Reina Alexandra,Ptačí křídlo královny Alexandry,Königin Alexandras Vogelschwinge,Skrzydło królowej Aleksandry
queen conch,conque reine,concha reina,královna konch,Muschelkönigin,królowa koncha
quetzal,quetzal,quetzal,quetzal,Quetzal,quetzal
quokka,quokka,quokka,quokka,Quokka,quokka
quoll,quoll,quoll,quoll,quoll,quoll
rabbit,lapin,conejo,králík,Kaninchen,królik
raccoon,raton laveur,mapache,mýval,Waschbär,szop
rat,rat,rata,krysy,Ratte,szczur
rattlesnake,crotale,serpiente de cascabel,chřestýš,Klapperschlange,grzechotnik
ray,rayon,rayo,ray,ray,promień
red hooded duck,canard à capuchon rouge,pato con capucha roja,kachna s červenou kapucí,rote Kapuzenente,kaczka z czerwonym kapturem
red kangaroo,kangourou rouge,canguro rojo,červený klokan,rotes Känguru,czerwony kangur
red panda,panda roux,panda rojo,červená panda,Roter Panda,czerwona panda
red wolf,loup rouge,lobo rojo,červený vlk,Rotwolf,czerwony wilk
red-tailed hawk,buse à queue rousse,halcón de cola roja,jestřáb červenoocasý,Rotschwanzbussard,jastrząb z czerwonym ogonem
redbilled oxpecker,pic à bec rouge,búho real,volavka červenozobá,Rotschnabel-Madenhacker,dzięcioł czerwonodzioby
reindeer,renne,reno,sobi,Rentier,renifer
reptile,reptile,reptil,plazi,Reptil,gad
rhea,Rhéa,ñandú,rhea,rhea,reja
rhino,rhinocéros,rinoceronte,nosorožec,Nashorn,nosorożec
rhinoceros,rhinocéros,rinoceronte,nosorožec,Nashorn,nosorożec
Rhode Island red,Rhode Island rouge,Rhode Island rojo,Rhode Island červená,Rhode Island rot,Czerwony Rhode Island
right whale,baleine franche,ballena franca,velryba pravá,Glattwal,prawy wieloryb
ring-billed gull,goéland à bec cerclé,gaviota cabecinegra,racek kroužkovaný,Ringschnabelmöwe,mewa obrączkowana
ring-tailed lemur,lémurien à queue annulaire,lémur de cola anillada,lemur kroužkový,Ringelschwanzlemur,lemur obrączkowany
ringtail possum,opossum à queue annelée,zarigüeya de cola anillada,vačice kroužkovaná,Ringelschwanz Opossum,opos ogoniasty
river otter,loutre de rivière,nutria de río,vydra říční,Flussotter,wydra rzeczna
roach,cafard,cucaracha,šváb,Kakerlake,płoć
roadrunner,coureur des routes,correcaminos,roadrunner,Roadrunner,roadrunner
robin,robin,robin,robin,robin,robin
rock dove,colombe des rochers,paloma de roca,skalní holubice,Felsentaube,gołąb skalny
rockhopper penguin,manchot rockhopper,pingüino saltarrocas,tučňák skalní,Felsenpinguin,pingwin skalny
rodent,rongeur,roedor,hlodavci,Nagetier,gryzoń
rooster,coq,gallo,kohout,Hahn,kogut
rottweiler,rottweiler,rottweiler,rotvajler,Rottweiler,rottweiler
roundworm,ver rond,lombriz intestinal,škrkavky,Spulwurm,glista
ruby-throated hummingbird,colibri à gorge rubis,colibrí garganta rubí,kolibřík rubínový,Rubinkehlkolibri,koliber rubinowy
sailfish,voilier,pez vela,plachetnice,Segelfisch,żaglica
salamander,salamandre,salamandra,salamandr,Salamander,salamandra
salmon,saumon,salmón,losos,Lachs,łosoś
sand dollar,dollar des sables,dólar de arena,písečný dolar,Sanddollar,piaskowy dolar
sandpiper,bécasseau,correlimos,písečník,Strandläufer,żmija piaskowa
scallop,coquille Saint-Jacques,vieira,hřebenatky,Kammmuschel,przegrzebek
scarlet macaw,ara écarlate,guacamaya roja,makak šarlatový,Arakanga,ara szkarłatna
scorpion,scorpion,escorpión,škorpion,Skorpion,skorpion
Scottish terrier,Terrier écossais,Terrier escocés,Skotský teriér,Schottischer Terrier,Terier szkocki
sea anemone,anémone de mer,anémona de mar,mořská sasanka,Seeanemone,ukwiał morski
sea cow,vache de mer,vaca marina,mořská kráva,Seekuh,krowa morska
sea cucumber,concombre de mer,pepino de mar,mořská okurka,Seegurke,ogórek morski
sea otter,loutre de mer,nutria marina,mořská vydra,Seeotter,wydra morska
sea star,étoile de mer,estrella de mar,mořská hvězda,Seestern,gwiazda morska
sea turtle,tortue de mer,tortuga marina,mořská želva,Seeschildkröte,żółw morski
sea urchin,oursin,erizo de mar,mořský ježek,Seeigel,jeżowiec
sea worm,ver de mer,gusano de mar,mořský červ,Seewurm,robak morski
seahorse,hippocampe,caballito de mar,mořský koník,Seepferdchen,konik morski
seal,sceller,precinto,těsnění,Siegel,pieczęć
sealion,scellement,sealion,sealion,Seelöwe,uszczelnienie
serval,serval,serval,serval,Serval,serwal
shark,requin,tiburón,žralok,Hai,rekin
sheep,mouton,ovejas,ovce,Schafe,owca
shrew,mégère,musaraña,shrew,Spitzmaus,ryjówka
shrimp,crevette,gambas,krevety,Krabben,krewetka
siamang,siamang,siamang,siamang,siamang,siamang
Siberian husky,Husky sibérien,Husky siberiano,Sibiřský husky,Sibirischer Schlittenhund,Husky syberyjski
silkworm,ver à soie,gusano de seda,bource morušového,Seidenraupen,jedwabnik
silverfish,lépisme,lepisma,stříbrná rybka,Silberfischchen,ryba srebrna
skink,scinque,eslizón,skink,Skink,szczupak
skipper,skipper,patrón,kapitán,Skipper,sternik
skunk,mouffette,mofeta,skunk,Stinktier,skunks
sloth,paresseux,perezoso,lenochod,Faultier,lenistwo
slow worm,ver lent,gusano lento,pomalý červ,Blindschleiche,powolny robak
slug,limace,babosa,slimák,Schnecke,ślimak
Smilodon,Smilodon,Smilodon,Smilodon,Smilodon,Smilodon
snail,escargot,caracol,šnek,Schnecke,ślimak
snake,serpent,serpiente,had,Schlange,wąż
snapper,vivaneau,pargo,snapper,Schnapper,lucjan
snapping turtle,tortue serpentine,tortuga mordedora,želva bahenní,Schnappschildkröte,żółw błotny
snow goose,oie des neiges,ganso de nieve,sněžná husa,Schneegans,gęś śnieżna
snow leopard,léopard des neiges,leopardo de las nieves,sněžný leopard,Schneeleopard,pantera śnieżna
snowy owl,hibou des neiges,búho nival,sněžná sova,Schneeeule,sowa śnieżna
softshell turtle,tortue à carapace molle,tortuga de caparazón blando,želva měkkýš,Weichschildkröte,żółw softshell
sparrow,moineau,gorrión,vrabec,Sperling,wróbel
spectacled caiman,caïman à lunettes,caimán de anteojos,kajman brýlový,Brillenkaiman,kajman okularowy
spectacled porpoise,marsouin à lunettes,marsopa de anteojos,sviňucha brýlatá,Brillenschweinswal,morświn okularowy
spider,araignée,araña,pavouk,Spinne,pająk
spiny anteater,fourmilier épineux,oso hormiguero espinoso,mravenečník ostnitý,Dorniger Ameisenbär,mrówkojad kolczasty
spiny lizard,lézard épineux,lagarto espinoso,ještěrka ostnitá,Stacheleidechse,jaszczurka kolczasta
sponge,éponge,esponja,houba,Schwamm,gąbka
spotted owl,chouette tachetée,búho moteado,sova pálená,Fleckenkauz,sowa cętkowana
springtail,queue de printemps,colémbolo,jarní ocásek,Frühlingsschwanz,ogon wiosenny
squid,calmar,calamar,chobotnice,Tintenfisch,kałamarnica
squirrel,écureuil,ardilla,veverka,Eichhörnchen,wiewiórka
St. Bernard,Saint-Bernard,San Bernardo,Bernardýn,Der heilige Bernhard,Bernard
starfish,étoile de mer,estrella de mar,hvězdice,Seesterne,rozgwiazda
starling,étourneau,estornino,špaček,Sternchen,szpak
Stegosaurus,Stégosaure,Estegosaurio,Stegosaurus,Stegosaurus,Stegozaur
stingray,raie,raya,stingray,Stachelrochen,płaszczka
stonefly,moucheron,mosca de piedra,stonefly,Steinfliege,muchomor
stork,cigogne,cigüeña,čáp,Storch,bocian
sugar glider,planeur de sucre,planeador del azúcar,kluzák cukrový,Zuckerrutscher,szybowiec cukrowy
sunfish,poisson-lune,sunfish,sunfish,Sonnenbarsch,ryba słoneczna
swallowtail butterfly,papillon à queue d'hirondelle,mariposa cola de golondrina,motýl vlaštovčí ocásek,Schwalbenschwanz-Schmetterling,motyl jaskółczy ogon
swan,cygne,cisne,labuť,Schwan,łabędź
swift,rapide,rápido,swift,flink,szybki
swordfish,espadon,pez espada,mečoun,Schwertfisch,włócznik
T. rex,T. rex,T. rex,T. rex,T. rex,T. rex
tadpole,têtard,renacuajo,tadpole,Kaulquappe,kijanka
tamarin,tamarin,tamarín,tamarin,tamarin,tamaryna
tanager,tamanoir,tangara,tanager,Tanager,tanager
tapir,tapir,tapir,tapír,Tapir,tapir
tarantula,tarentule,tarántula,tarantule,Vogelspinne,tarantula
tarpon,tarpon,sábalo,tarpon,Tarpon,tarpon
tarsier,tarsier,tarsero,tarsier,Tarsier,tarsier
Tasmanian devil,Diable de Tasmanie,Demonio de Tasmania,Tasmánský čert,Tasmanischer Teufel,Diabeł tasmański
Tasmanian tiger,Tigre de Tasmanie,Tigre de Tasmania,Tasmánský tygr,Tasmanischer Tiger,Tygrys tasmański
Teratosaurus,Tératosaure,Teratosaurus,Teratosaurus,Teratosaurus,Teratozaur
termite,termite,termitas,termitiště,Termiten,termit
tern,terne,tern,tern,tern,rybitwa
terrier,terrier,terrier,teriér,terrier,terier
Thecodontosaurus,Thecodontosaurus,Tecodontosaurio,Thecodontosaurus,Thecodontosaurus,Thecodontosaurus
Thescelosaurus,Thescelosaurus,Thescelosaurus,Thescelosaurus,Thescelosaurus,Thescelosaurus
three-toed sloth,paresseux à trois doigts,perezoso de tres dedos,lenochod tříprstý,Dreizehenfaultier,leniwiec trójpalczasty
thresher shark,requin renard,tiburón zorro,žralok mlátička,Fuchshai,rekin kosogon
thrip,thrip,trips,thrip,Thripse,potok
tick,tique,garrapata,klíště,Zecke,kleszcz
tiger,tigre,tigre,tiger,Tiger,tygrys
tiger shark,requin tigre,tiburón tigre,žralok tygří,Tigerhai,rekin tygrysi
tiger swallowtail butterfly,papillon tigré,mariposa cola de golondrina tigre,motýl vlaštovka tygrovaná,Tigerschwalbenschwanz-Schmetterling,motyl tygrysi ogon
toad,crapaud,sapo,ropucha,Kröte,ropucha
Torosaurus,Torosaurus,Torosaurus,Torosaurus,Torosaurus,Torozaur
tortoise,tortue,tortuga,želva,Schildkröte,żółw
toucan,toucan,tucán,toucan,Tukan,tukan
Trachodon,Trachodon,Trachodon,Trachodon,Trachodon,Trachodon
tree shrew,musaraigne arboricole,musaraña arbórea,stromový křovinořez,Spitzhörnchen,ryjówka drzewna
tree sparrow,bruant des arbres,gorrión molinero,vrabec stromový,Feldsperling,wróbel
treefrog,rainette,rana arborícola,Treefrog,Laubfrosch,żaba drzewna
Triceratops,Triceratops,Triceratops,Triceratops,Triceratops,Triceratops
Trilobite,Trilobite,Trilobite,Trilobit,Trilobit,Trylobit
Troodon,Troodon,Troodon,Troodon,Troodon,Troodon
trout,truite,trucha,pstruh,Forelle,pstrąg
trumpeter swan,cygne trompette,cisne trompetero,labuť trubač,Trompeterschwan,łabędź trębacz
tsetse fly,mouche tsé-tsé,mosca tsetsé,moucha tse-tse,Tsetsefliege,mucha tsetse
tuatara,tuatara,tuatara,tuatara,tuatara,tuatara
tuna,thon,atún,tuňák,Thunfisch,tuńczyk
tundra wolf,loup de la toundra,lobo de tundra,vlk tundrový,Tundrawolf,wilk tundrowy
turkey,dinde,pavo,krocan,Truthahn,indyk
turtle,tortue,tortuga,želva,Schildkröte,żółw
Tyrannosaurus rex,Tyrannosaurus rex,Tiranosaurio rex,Tyranosaurus rex,Tyrannosaurus rex,Tyrannosaurus rex
Ultrasaurus,Ultrasaurus,Ultrasaurus,Ultrasaurus,Ultrasaurus,Ultrasaurus
Ulysses butterfly,Papillon Ulysse,Ulises mariposa,Motýl Odysseus,Ulysses Schmetterling,Motyl Ulisses
umbrellabird,oiseau parapluie,pájaro paraguas,umbrellabird,schirmvogel,parasolka
ungulates,ongulés,ungulados,kopytníci,Huftiere,kopytne
uniramians,uniramiens,uniramianos,uniramians,uniramians,uniramians
urchin,oursin,erizo,ježek,Seeigel,jeżowiec
Utahraptor,Utahraptor,Utahraptor,Utahraptor,Utahraptor,Utahraptor
valley quail,caille des vallées,codorniz del valle,křepelka v údolí,Talwachtel,przepiórka dolinowa
vampire bat,chauve-souris vampire,murciélago vampiro,upíří netopýr,Vampir-Fledermaus,nietoperz wampir
veiled chameleon,caméléon voilé,camaleón velado,zahalený chameleon,Schleierchamäleon,zawoalowany kameleon
Velociraptor,Vélociraptor,Velociraptor,Velociraptor,Velociraptor,Velociraptor
venomous animals,animaux venimeux,animales venenosos,jedovatá zvířata,Gifttiere,jadowite zwierzęta
vertebrates,vertébrés,vertebrados,obratlovci,Wirbeltiere,kręgowce
viceroy butterfly,papillon du vice-roi,mariposa virrey,motýl viceroy,Vizekönig-Falterfisch,motyl wicekróla
vinegarroon,vinaigrier,vinegarroon,ocetroon,Essigroon,vinegarroon
viper,vipère,víbora,viper,Viper,żmija
Virginia opossum,Opossum de Virginie,Zarigüeya de Virginia,vačice virginská,Virginia-Opossum,Opos wirginijski
Vulcanodon,Vulcanodon,Vulcanodon,Vulcanodon,Vulcanodon,Vulcanodon
vulture,vautour,buitre,supi,Geier,sęp
walkingstick,bâton de marche,bastón,walkingstick,Spazierstock,laska
wallaby,wallaby,wallaby,wallaby,Wallaby,walabia
walrus,morse,morsa,mrož,Walross,mors
warthog,phacochère,warthog,prasata bradavičnatá,Warzenschwein,guźce
wasp,guêpe,avispa,vosy,Wespe,osa
water moccasin,mocassin d'eau,mocasín de agua,vodní mokasín,Wassermokassin,mokasyn wodny
water strider,l'eau strider,transeúnte acuático,vodní jezdec,Wasserläufer,wodny strider
waterbug,punaise d'eau,waterbug,vodní brouci,Wasserwanze,pluskwa wodna
weasel,fouine,comadreja,lasička,Wiesel,łasica
